更新时间: 2026-04-05 23:36:58（北京时间）

更新时间,#genre#
2026-04-05 23:36:58,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
河北卫视,http://111.193.235.246:8888/rtp/239.3.1.148:8072$北京市联通
河南卫视,http://59.175.9.167:8899/rtp/239.69.1.168:10644$湖北电信
河南卫视,http://111.193.235.246:8888/rtp/239.3.1.50:8184$北京市联通
湖北卫视,http://115.171.216.58:4000/rtp/225.1.8.47:8044$北京市电信
湖北卫视,http://59.175.9.167:8899/rtp/239.254.96.115:8664$湖北电信
湖北卫视,http://27.12.234.77:8001/rtp/225.0.4.217:7980$重庆市联通
湖北卫视,http://111.193.235.246:8888/rtp/239.3.1.138:8044$北京市联通
江西卫视,http://115.171.216.58:4000/rtp/225.1.8.171:8166$北京市电信
江西卫视,http://59.175.9.167:8899/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://27.12.234.77:8001/rtp/225.0.4.203:7980$重庆市联通
江西卫视,http://111.193.235.246:8888/rtp/239.3.1.123:8164$北京市联通
四川卫视,http://59.175.9.167:8899/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://27.12.234.77:8001/rtp/225.0.4.108:7980$重庆市联通
四川卫视,http://27.12.234.77:8001/rtp/225.0.4.204:7980$重庆市联通
四川卫视,http://111.193.235.246:8888/rtp/239.3.1.29:8288$北京市联通
重庆卫视,http://115.171.216.58:4000/rtp/225.1.8.172:8162$北京市电信
重庆卫视,http://59.175.9.167:8899/rtp/239.69.1.149:10530$湖北电信
重庆卫视,http://27.12.234.77:8001/rtp/225.0.4.187:7980$重庆市联通
重庆卫视,http://111.193.235.246:8888/rtp/239.3.1.122:8160$北京市联通
贵州卫视,http://115.171.216.58:4000/rtp/225.1.8.77:8076$北京市电信
贵州卫视,http://59.175.9.167:8899/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://27.12.234.77:8001/rtp/225.0.4.175:7980$重庆市联通
贵州卫视,http://111.193.235.246:8888/rtp/239.3.1.149:8076$北京市联通
云南卫视,http://111.193.235.246:8888/rtp/239.3.1.26:8108$北京市联通
天津卫视,http://115.171.216.58:4000/rtp/225.1.8.48:8044$北京市电信
天津卫视,http://59.175.9.167:8899/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://27.12.234.77:8001/rtp/225.0.4.82:7980$重庆市联通
天津卫视,http://111.193.235.246:8888/rtp/239.3.1.141:1234$北京市联通
安徽卫视,http://115.171.216.58:4000/rtp/225.1.8.52:8064$北京市电信
安徽卫视,http://59.175.9.167:8899/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://27.12.234.77:8001/rtp/225.0.4.133:7980$重庆市联通
安徽卫视,http://111.193.235.246:8888/rtp/239.3.1.211:8064$北京市联通
山东卫视,http://115.171.216.58:4000/rtp/225.1.8.50:8052$北京市电信
山东卫视,http://59.175.9.167:8899/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://27.12.234.77:8001/rtp/225.0.4.106:7980$重庆市联通
山东卫视,http://27.12.234.77:8001/rtp/225.0.4.199:7980$重庆市联通
山东卫视,http://111.193.235.246:8888/rtp/239.3.1.209:8052$北京市联通
辽宁卫视,http://115.171.216.58:4000/rtp/225.1.8.51:8056$北京市电信
辽宁卫视,http://59.175.9.167:8899/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://27.12.234.77:8001/rtp/225.0.4.98:7980$重庆市联通
辽宁卫视,http://111.193.235.246:8888/rtp/239.3.1.210:8056$北京市联通
黑龙江卫视,http://115.171.216.58:4000/rtp/225.1.8.42:8016$北京市电信
黑龙江卫视,http://59.175.9.167:8899/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://27.12.234.77:8001/rtp/225.0.4.201:7980$重庆市联通
黑龙江卫视,http://111.193.235.246:8888/rtp/239.3.1.133:8016$北京市联通
吉林卫视,http://59.175.9.167:8899/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://111.193.235.246:8888/rtp/239.3.1.240:8172$北京市联通
内蒙古卫视,http://111.193.235.246:8888/rtp/239.3.1.43:8176$北京市联通
宁夏卫视,http://111.193.235.246:8888/rtp/239.3.1.169:8212$北京市联通
山西卫视,http://111.193.235.246:8888/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://111.193.235.246:8888/rtp/239.3.1.41:8140$北京市联通
甘肃卫视,http://27.12.234.77:8001/rtp/225.0.4.181:7980$重庆市联通
甘肃卫视,http://111.193.235.246:8888/rtp/239.3.1.201:8180$北京市联通
青海卫视,http://111.193.235.246:8888/rtp/239.3.1.44:8184$北京市联通
新疆卫视,http://27.12.234.77:8001/rtp/225.0.4.60:7980$重庆市联通
新疆卫视,http://111.193.235.246:8888/rtp/239.3.1.167:8192$北京市联通
西藏卫视,http://27.12.234.77:8001/rtp/225.0.4.67:7980$重庆市联通
西藏卫视,http://111.193.235.246:8888/rtp/239.3.1.166:8188$北京市联通
三沙卫视,http://115.171.216.58:4000/rtp/225.1.8.78:4120$北京市电信
三沙卫视,http://111.193.235.246:8888/rtp/239.3.1.155:4120$北京市联通
兵团卫视,http://27.12.234.77:8001/rtp/225.0.4.72:7980$重庆市联通
兵团卫视,http://111.193.235.246:8888/rtp/239.3.1.168:8196$北京市联通
山东教育卫视,http://27.12.234.77:8001/rtp/225.0.4.183:7980$重庆市联通
山东教育卫视,http://111.193.235.246:8888/rtp/239.3.1.52:4120$北京市联通
中国教育1台,http://115.171.216.58:4000/rtp/225.1.8.32:8152$北京市电信
中国教育1台,http://115.171.216.58:4000/rtp/225.1.8.169:4120$北京市电信
中国教育1台,http://59.175.9.167:8899/rtp/239.69.1.110:10298$湖北电信
中国教育1台,http://27.12.234.77:8001/rtp/225.0.4.186:7980$重庆市联通
中国教育1台,http://111.193.235.246:8888/rtp/239.3.1.57:8152$北京市联通
中国教育2台,http://115.171.216.58:4000/rtp/225.1.8.193:4120$北京市电信
中国教育2台,http://111.193.235.246:8888/rtp/239.3.1.54:4120$北京市联通
中国教育3台,http://115.171.216.58:4000/rtp/225.1.8.194:4120$北京市电信
中国教育3台,http://111.193.235.246:8888/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://115.171.216.58:4000/rtp/225.1.8.195:4120$北京市电信
中国教育4台,http://27.12.234.77:8001/rtp/225.0.4.182:7980$重庆市联通
中国教育4台,http://111.193.235.246:8888/rtp/239.3.1.56:4120$北京市联通

数字频道,#genre#
CHC动作电影,http://59.175.9.167:8899/rtp/239.69.1.242:11094$湖北电信
CHC动作电影,http://27.12.234.77:8001/rtp/225.0.4.229:7980$重庆市联通
CHC家庭影院,http://59.175.9.167:8899/rtp/239.69.1.243:11100$湖北电信
CHC家庭影院,http://27.12.234.77:8001/rtp/225.0.4.228:7980$重庆市联通
CHC影迷电影,http://59.175.9.167:8899/rtp/239.69.1.241:11088$湖北电信
CHC影迷电影,http://27.12.234.77:8001/rtp/225.0.4.230:7980$重庆市联通
淘电影,http://115.171.216.58:4000/rtp/225.1.8.38:8002$北京市电信
淘电影,http://111.193.235.246:8888/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://115.171.216.58:4000/rtp/225.1.8.33:8002$北京市电信
淘精彩,http://111.193.235.246:8888/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://115.171.216.58:4000/rtp/225.1.8.37:8002$北京市电信
淘剧场,http://111.193.235.246:8888/rtp/239.3.1.95:8001$北京市联通
淘4K,http://115.171.216.58:4000/rtp/225.1.8.211:8002$北京市电信
淘娱乐,http://115.171.216.58:4000/rtp/225.1.8.61:8002$北京市电信
淘娱乐,http://111.193.235.246:8888/rtp/239.3.1.100:8001$北京市联通
淘BABY,http://115.171.216.58:4000/rtp/225.1.8.36:8002$北京市电信
求索纪录,http://27.12.234.77:8001/rtp/225.0.4.232:7980$重庆市联通
纪实人文,http://115.171.216.58:4000/rtp/225.1.8.53:8060$北京市电信
金鹰纪实,http://115.171.216.58:4000/rtp/225.1.8.31:8156$北京市电信
金鹰纪实,http://59.175.9.167:8899/rtp/239.69.1.109:10292$湖北电信
金鹰纪实,http://111.193.235.246:8888/rtp/239.3.1.58:8156$北京市联通
纪实科教,http://111.193.235.246:8888/rtp/239.3.1.115:8000$北京市联通
睛彩青少,http://111.193.235.246:8888/rtp/239.3.1.127:8001$北京市联通
睛彩竞技,http://111.193.235.246:8888/rtp/239.3.1.125:8001$北京市联通
睛彩篮球,http://111.193.235.246:8888/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://111.193.235.246:8888/rtp/239.3.1.128:8001$北京市联通
快乐垂钓,http://115.171.216.58:4000/rtp/225.1.8.71:8002$北京市电信
快乐垂钓,http://59.175.9.167:8899/rtp/239.69.1.142:10488$湖北电信
快乐垂钓,http://27.12.234.77:8001/rtp/225.0.4.213:7980$重庆市联通
快乐垂钓,http://111.193.235.246:8888/rtp/239.3.1.164:8001$北京市联通
茶频道,http://115.171.216.58:4000/rtp/225.1.8.72:8002$北京市电信
茶频道,http://59.175.9.167:8899/rtp/239.69.1.144:10500$湖北电信
茶频道,http://27.12.234.77:8001/rtp/225.0.4.233:7980$重庆市联通
汽摩,http://27.12.234.77:8001/rtp/225.0.4.195:7980$重庆市联通
梨园频道,http://59.175.9.167:8899/rtp/239.69.1.33:9838$湖北电信
武术世界,http://59.175.9.167:8899/rtp/239.69.1.47:9922$湖北电信
生活时尚,http://27.12.234.77:8001/rtp/225.0.4.241:7980$重庆市联通
都市剧场,http://27.12.234.77:8001/rtp/225.0.4.235:7980$重庆市联通
欢笑剧场,http://27.12.234.77:8001/rtp/225.0.4.234:7980$重庆市联通
游戏风云,http://27.12.234.77:8001/rtp/225.0.4.237:7980$重庆市联通
动漫秀场,http://27.12.234.77:8001/rtp/225.0.4.236:7980$重庆市联通
卡酷少儿,http://115.171.216.58:4000/rtp/225.1.8.35:8000$北京市电信
卡酷少儿,http://59.175.9.167:8899/rtp/239.69.1.193:10800$湖北电信
卡酷少儿,http://111.193.235.246:8888/rtp/239.3.1.189:8000$北京市联通
金鹰卡通,http://115.171.216.58:4000/rtp/225.1.8.163:9252$北京市电信
金鹰卡通,http://59.175.9.167:8899/rtp/239.69.1.248:11130$湖北电信
金鹰卡通,http://111.193.235.246:8888/rtp/239.3.1.51:9252$北京市联通
嘉佳卡通,http://115.171.216.58:4000/rtp/225.1.8.170:9268$北京市电信
嘉佳卡通,http://111.193.235.246:8888/rtp/239.3.1.147:9268$北京市联通
中国交通,http://27.12.234.77:8001/rtp/225.0.4.125:7980$重庆市联通
中国交通,http://111.193.235.246:8888/rtp/239.3.1.188:8001$北京市联通
华数星影,http://115.171.216.58:4000/rtp/225.1.8.254:4120$北京市电信
华数动作影院,http://115.171.216.58:4000/rtp/225.1.8.252:4120$北京市电信
华数喜剧影院,http://115.171.216.58:4000/rtp/225.1.8.251:4120$北京市电信
